time,altitude,acc_x,vel_x,roll,pitch,yaw
2.160000,1336.429077,9.593155,-0.878906,-9.663722,-1.133216,0.314624
2.180000,1336.399658,9.595235,-1.470947,-9.755015,-1.143815,0.318851
2.200000,1336.414795,9.594085,0.756836,-9.845510,-1.154264,0.323069
2.220000,1336.416260,9.596090,0.073242,-9.934245,-1.164554,0.327386
2.240000,1336.414429,9.594489,-0.091553,-10.021914,-1.174857,0.331704
2.260000,1336.456421,9.592251,2.099609,-10.109283,-1.184972,0.336023
2.280000,1336.488159,9.591722,1.586914,-10.196824,-1.194962,0.340475
2.300000,1336.506592,9.593534,0.921631,-10.285852,-1.204824,0.344967
2.320000,1336.560181,9.592520,2.679443,-10.375823,-1.214467,0.349470
2.340000,1336.600220,9.591205,2.001953,-10.465990,-1.223935,0.353976
2.360000,1336.635864,9.590378,1.782227,-10.556672,-1.233190,0.358484
2.380000,1336.669312,9.592297,1.672363,-10.646814,-1.242427,0.362985
2.400000,1336.685791,9.592530,0.823975,-10.736336,-1.251812,0.367490
2.420000,1336.724731,9.591980,1.947021,-10.825520,-1.261105,0.372094
2.440000,1336.801636,9.591091,3.845215,-10.913382,-1.270296,0.376675
2.460000,1336.782715,9.592187,-0.946045,-11.000243,-1.279517,0.381242
2.480000,1336.791748,9.591664,0.451660,-11.086292,-1.288759,0.385799
2.500000,1336.809326,9.591183,0.878906,-11.171816,-1.298021,0.390355
2.520000,1336.767090,9.592654,-2.111816,-11.257308,-1.307067,0.395031
2.540000,1336.808716,9.597071,2.081299,-11.342760,-1.316068,0.399717
2.560000,1336.812256,9.597689,0.177002,-11.428741,-1.325108,0.404532
2.580000,1336.843384,9.597874,1.556396,-11.515432,-1.334144,0.409467
2.600000,1336.800293,9.595365,-2.154541,-11.602776,-1.343083,0.414405
2.620000,1336.825806,9.596119,1.275635,-11.690837,-1.352001,0.419343
2.640000,1336.853149,9.595282,1.367188,-11.779555,-1.360925,0.424400
2.660000,1336.863525,9.596425,0.518799,-11.869324,-1.369705,0.429461
2.680000,1336.860352,9.597477,-0.158691,-11.959060,-1.378187,0.434601
2.700000,1336.875000,9.595765,0.732422,-12.048642,-1.387418,0.439619
2.720000,1336.873779,9.592659,-0.061035,-12.137423,-1.397701,0.444378
2.740000,1336.875488,9.591332,0.085449,-12.225664,-1.407804,0.449147
2.760000,1336.859253,9.591261,-0.811768,-12.313634,-1.417631,0.453933
2.780000,1336.869263,9.590812,0.500488,-12.401244,-1.427418,0.458621
2.800000,1336.866211,9.592696,-0.152588,-12.488733,-1.437078,0.463341
2.820000,1336.886108,9.589835,0.994873,-12.576243,-1.446655,0.468080
2.840000,1336.848877,9.589883,-1.861572,-12.663647,-1.456231,0.472964
2.860000,1336.861694,9.591458,0.640869,-12.751513,-1.465744,0.477872
2.880000,1336.879150,9.592908,0.872803,-12.839481,-1.475048,0.482787
2.900000,1336.842773,9.595007,-1.818848,-12.926855,-1.484103,0.487702
2.920000,1336.885132,9.595407,2.117920,-13.013136,-1.493109,0.492708
2.940000,1336.870117,9.594243,-0.750732,-13.098163,-1.502167,0.497589
2.960000,1336.858398,9.589727,-0.585938,-13.182162,-1.511097,0.502345
2.980000,1336.846069,9.592081,-0.616455,-13.265646,-1.520087,0.507240
3.000000,1336.896118,9.591566,2.502441,-13.349097,-1.529044,0.512170
3.020000,1336.949097,9.590327,2.648926,-13.433094,-1.538005,0.517245
3.040000,1336.942627,9.589188,-0.323486,-13.518702,-1.546911,0.522612
3.060000,1336.936523,9.588904,-0.305176,-13.605802,-1.555515,0.528217
3.080000,1336.916992,9.589026,-0.976562,-13.694264,-1.564075,0.533962
3.100000,1336.899292,9.590287,-0.885010,-13.784226,-1.572544,0.539581
3.120000,1336.924805,9.587619,1.275635,-13.874669,-1.580916,0.545169
3.140000,1336.926636,9.589375,0.091553,-13.964533,-1.589179,0.550834
3.160000,1336.890259,9.588695,-1.818848,-14.052766,-1.597363,0.556404
3.180000,1336.914429,9.588834,1.208496,-14.138449,-1.605649,0.561788
3.200000,1336.909058,9.588962,-0.268555,-14.222142,-1.613846,0.567106
3.220000,1336.853760,9.591376,-2.764893,-14.303980,-1.622176,0.572503
3.240000,1336.826416,9.591683,-1.367188,-14.385222,-1.630648,0.577787
3.260000,1336.809570,9.593881,-0.842285,-14.467634,-1.639781,0.583211
3.280000,1336.809082,9.593987,-0.024414,-14.550280,-1.647913,0.588787
3.300000,1336.785767,9.595617,-1.165771,-14.634735,-1.655545,0.594519
3.320000,1336.796997,9.594820,0.561523,-14.721535,-1.663734,0.600309
3.340000,1336.737061,9.594469,-2.996826,-14.810609,-1.672700,0.606254
3.360000,1336.752930,9.594529,0.793457,-14.900890,-1.681558,0.612417
3.380000,1336.741577,9.592287,-0.567627,-14.991585,-1.690278,0.618668
3.400000,1336.715454,9.592522,-1.306152,-15.081560,-1.698880,0.624827
3.420000,1336.648560,9.592355,-3.344727,-15.170074,-1.707482,0.630905
3.440000,1336.610962,9.593349,-1.879883,-15.257025,-1.715921,0.636891
3.460000,1336.612061,9.593117,0.054932,-15.342747,-1.724292,0.642708
3.480000,1336.621460,9.595200,0.469971,-15.427451,-1.732695,0.648484
3.500000,1336.620117,9.595967,-0.067139,-15.511205,-1.741038,0.654228
3.520000,1336.618164,9.596291,-0.097656,-15.594984,-1.749371,0.659988
3.540000,1336.602417,9.595439,-0.787354,-15.678789,-1.757707,0.665736
3.560000,1336.638184,9.595038,1.788330,-15.763396,-1.766006,0.671634
3.580000,1336.686157,9.594670,2.398682,-15.849190,-1.774185,0.677664
3.600000,1336.660156,9.595098,-1.300049,-15.935533,-1.782227,0.683790
3.620000,1336.656860,9.593576,-0.164795,-16.022354,-1.790224,0.689918
3.640000,1336.700439,9.592942,2.178955,-16.109310,-1.798150,0.695999
3.660000,1336.735718,9.593508,1.763916,-16.195801,-1.805912,0.702053
3.680000,1336.731079,9.592879,-0.231934,-16.281982,-1.813589,0.708076
3.700000,1336.706543,9.591536,-1.226807,-16.367105,-1.821173,0.714039
3.720000,1336.715088,9.590682,0.427246,-16.451450,-1.828884,0.719986
3.740000,1336.708496,9.589896,-0.329590,-16.535540,-1.836527,0.725914
3.760000,1336.741699,9.593768,1.660156,-16.619598,-1.844206,0.731864
3.780000,1336.765869,9.593501,1.208496,-16.704866,-1.852002,0.737872
3.800000,1336.782227,9.593638,0.817871,-16.791922,-1.859696,0.744154
3.820000,1336.793701,9.596828,0.573730,-16.880293,-1.867218,0.750468
3.840000,1336.828735,9.597847,1.751709,-16.970320,-1.874561,0.756898
3.860000,1336.866211,9.595340,1.873779,-17.062115,-1.881760,0.763344
3.880000,1336.877197,9.596478,0.549316,-17.153387,-1.888830,0.769727
3.900000,1336.828003,9.597527,-2.459717,-17.243858,-1.896869,0.776068
3.920000,1336.805420,9.599257,-1.129150,-17.332436,-1.904006,0.782215
3.940000,1336.798706,9.598933,-0.335693,-17.419168,-1.911002,0.788298
3.960000,1336.786499,9.601316,-0.610352,-17.504639,-1.918068,0.794368
3.980000,1336.752441,9.595852,-1.702881,-17.589056,-1.925309,0.800208
4.000000,1336.746826,9.595801,-0.280762,-17.673513,-1.932716,0.806101
4.020000,1336.780762,9.595372,1.696777,-17.758793,-1.940093,0.812165
4.040000,1336.739258,9.595360,-2.075195,-17.845039,-1.947488,0.818411
4.060000,1336.728760,9.593818,-0.524902,-17.932756,-1.954792,0.824702
4.080000,1336.678711,9.595078,-2.502441,-18.021711,-1.961900,0.831033
4.100000,1336.715942,9.593176,1.861572,-18.111235,-1.968955,0.837387
4.120000,1336.743774,9.594105,1.391602,-18.201418,-1.976011,0.843861
4.140000,1336.734009,9.591897,-0.488281,-18.291176,-1.983114,0.850197
4.160000,1336.741211,9.592163,0.360107,-18.379553,-1.990221,0.856469
4.180000,1336.704834,9.590111,-1.818848,-18.466635,-1.997303,0.862708
4.200000,1336.681763,9.592816,-1.153564,-18.552416,-2.004510,0.868817
4.220000,1336.719604,9.594157,1.892090,-18.637444,-2.011812,0.875040
4.240000,1336.703369,9.593860,-0.811768,-18.722549,-2.019102,0.881295
4.260000,1336.685181,9.592437,-0.909424,-18.807743,-2.026330,0.887563
4.280000,1336.676758,9.594956,-0.421143,-18.893232,-2.033526,0.893864
4.300000,1336.722412,9.590766,2.282715,-18.978882,-2.040777,0.900293
4.320000,1336.708618,9.589208,-0.689697,-19.064461,-2.048076,0.906723
4.340000,1336.715454,9.589306,0.341797,-19.149961,-2.055423,0.913154
4.360000,1336.661377,9.590927,-2.703857,-19.235180,-2.062675,0.919570
4.380000,1336.640015,9.590122,-1.068115,-19.319557,-2.069925,0.925981
4.400000,1336.661987,9.588615,1.098633,-19.403622,-2.077100,0.932381
4.420000,1336.674194,9.587996,0.610352,-19.487158,-2.084356,0.938777
4.440000,1336.705444,9.587808,1.562500,-19.570551,-2.091573,0.945184
4.460000,1336.691284,9.589167,-0.708008,-19.654253,-2.098033,0.951717
4.480000,1336.661499,9.590417,-1.489258,-19.737774,-2.103506,0.958250
4.500000,1336.707886,9.590035,2.319336,-19.821918,-2.108616,0.964815
4.520000,1336.721436,9.590068,0.677490,-19.907217,-2.114166,0.971434
4.540000,1336.762085,9.590863,2.032471,-19.994141,-2.120861,0.978225
4.560000,1336.752197,9.592360,-0.494385,-20.080866,-2.127269,0.984993
4.580000,1336.731812,9.593738,-1.019287,-20.167519,-2.133665,0.991868
4.600000,1336.710938,9.594622,-1.043701,-20.253988,-2.140020,0.998828
4.620000,1336.767334,9.593138,2.819824,-20.339737,-2.146399,1.005754
4.640000,1336.798706,9.594070,1.568604,-20.425255,-2.152869,1.012653
